IndID,IndName,Years,Unit,Legtitle,About,HighBad,ShadeType,DivergePoint,TopRange,Source,SourceName,Provider,Prefix,Suffix
Death_allcause_under75,"Deaths from all causes, under 75",2013 - 17,msoa,"Deaths from all causes, under 75<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from all causes, under 75</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_cancer_allage,"Deaths from cancer, all ages",2013 - 17,msoa,"Deaths from cancer, all ages<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from cancer, all ages</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_cancer_under75,"Deaths from cancer, under 75",2013 - 17,msoa,"Deaths from cancer, under 75<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from cancer, under 75</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_CVD_allage,"Deaths from CVD, all ages",2013 - 17,msoa,"Deaths from CVD, all ages<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from CVD, all ages</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_CVD_under75,"Deaths from CVD, under 75",2013 - 17,msoa,"Deaths from CVD, under 75<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from CVD, under 75</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_CHD_allage,"Deaths from CHD, all ages",2013 - 17,msoa,"Deaths from CHD, all ages<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from CHD, all ages</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_stroke_allage,"Deaths from stroke, all ages",2013 - 17,msoa,"Deaths from stroke, all ages<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from stroke, all ages</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_resp_allage,"Deaths from respiratory diseases, all ages",2013 - 17,msoa,"Deaths from respiratory diseases, all ages<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from respiratory diseases, all ages</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Death_preventable_allage,"Deaths from causes considered preventable, all ages",2013 - 17,msoa,"Deaths from causes considered preventable, all ages<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from causes considered preventable, all ages</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Em_admit_allcause,Emergency admissions all causes,2013/14-2017/18,msoa,Emergency admissions all causes<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>,"Data and definitions for <strong>Emergency admissions all causes</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Em_admit_CHD,Emergency admissions CHD,2013/14-2017/18,msoa,Emergency admissions CHD<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>,"Data and definitions for <strong>Emergency admissions CHD</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Em_admit_stroke,Emergency admissions stroke,2013/14-2017/18,msoa,Emergency admissions stroke<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>,"Data and definitions for <strong>Emergency admissions stroke</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Em_admit_MI,Emergency admissions Myocardial Infarction (MI),2013/14-2017/18,msoa,Emergency admissions Myocardial Infarction (MI)<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>,"Data and definitions for <strong>Emergency admissions Myocardial Infarction (MI)</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Em_admit_COPD,Emergency admissions COPD,2013/14-2017/18,msoa,Emergency admissions COPD<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>,"Data and definitions for <strong>Emergency admissions COPD</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Em_admit_hipfrac_65plus,"Emergency admissions hip fracture, age 65+",2013/14-2017/18,msoa,"Emergency admissions hip fracture, age 65+<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>","Data and definitions for <strong>Emergency admissions hip fracture, age 65+</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Hosp_stay_selfharm,Hospital stays for self-harm,2013/14-2017/18,msoa,Hospital stays for self-harm<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>,"Data and definitions for <strong>Hospital stays for self-harm</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Hosp_stay_alcohol,Hospital stays for alcohol-related harm,2013/14-2017/18,msoa,Hospital stays for alcohol-related harm<br/><h5>Standardised Admission Ratio<br/><em>(England = 100)</em><br/>2013/14-2017/18</h5>,"Data and definitions for <strong>Hospital stays for alcohol-related harm</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Inc_all_cancer,Incidence of all cancer,2012 - 16,msoa,Incidence of all cancer<br/><h5>Standardised Incidence Ratio<br/><em>(England = 100)</em><br/>2012 - 16</h5>,"Data and definitions for <strong>Incidence of all cancer</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Inc_breast_cancer,Incidence of breast cancer,2012 - 16,msoa,Incidence of breast cancer<br/><h5>Standardised Incidence Ratio<br/><em>(England = 100)</em><br/>2012 - 16</h5>,"Data and definitions for <strong>Incidence of breast cancer</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Inc_bowel_cancer,Incidence of bowel cancer,2012 - 16,msoa,Incidence of bowel cancer<br/><h5>Standardised Incidence Ratio<br/><em>(England = 100)</em><br/>2012 - 16</h5>,"Data and definitions for <strong>Incidence of bowel cancer</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Inc_lung_cancer,Incidence of lung cancer,2012 - 16,msoa,Incidence of lung cancer<br/><h5>Standardised Incidence Ratio<br/><em>(England = 100)</em><br/>2012 - 16</h5>,"Data and definitions for <strong>Incidence of lung cancer</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
Inc_prostate_cancer,Incidence of prostate cancer,2012 - 16,msoa,Incidence of prostate cancer<br/><h5>Standardised Incidence Ratio<br/><em>(England = 100)</em><br/>2012 - 16</h5>,"Data and definitions for <strong>Incidence of prostate cancer</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
LE_male,Life Expectancy (male),2013 - 17,msoa,Life Expectancy (male)<br/><h5>2013 - 17</h5>,"Data and definitions for <strong>Life Expectancy (male)</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",-1,diverge,79.5,,http://www.localhealth.org.uk,Local Health,PHE,,
LE_female,Life Expectancy (female),2013 - 17,msoa,Life Expectancy (female)<br/><h5>2013 - 17</h5>,"Data and definitions for <strong>Life Expectancy (female)</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",-1,diverge,83.1,,http://www.localhealth.org.uk,Local Health,PHE,,
HLE_male,Healthy Life Expectancy (male),2009 - 13,msoa,Healthy Life Expectancy (male)<br/><h5>2009-13</h5>,"Data and definitions for <strong>Healthy Life Expectancy (male)</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a><br/><br/>NB - this indicator cannot be updated from 2009-13 because it relies on 2011 Census data. ",-1,diverge,63.5,,http://www.localhealth.org.uk,Local Health,PHE,,
HLE_female,Healthy Life Expectancy (female),2009 - 13,msoa,Healthy Life Expectancy (female)<br/><h5>2009-13</h5>,"Data and definitions for <strong>Healthy Life Expectancy (female)</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> <br/><br/>NB - this indicator cannot be updated from 2009-13 because it relies on 2011 Census data. ",-1,diverge,64.8,,http://www.localhealth.org.uk,Local Health,PHE,,
Excess_Reception,Reception: children with excess weight (%),2015/16 - 2017/18,msoa,Reception: children with excess weight (%)<br/><h5>2015/16 - 2017/18</h5>,"Data and definitions for <strong>Reception: children with excess weight (%)</strong> are provided by PHE at <a href=""https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data"" target=""_blank"">National Child Measurement Programme</a>",1,diverge,22.4,,https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data,National Child Measurement Programme,PHE,,%
Obese_Reception,Reception: obese children (%),2015/16 - 2017/18,msoa,Reception: obese children (%)<br/><h5>2015/16 - 2017/18</h5>,"Data and definitions for <strong>Reception: obese children (%)</strong> are provided by PHE at <a href=""https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data"" target=""_blank"">National Child Measurement Programme</a>",1,diverge,9.5,,https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data,National Child Measurement Programme,PHE,,%
Excess_Year6,Year 6: children with excess weight (%),2015/16 - 2017/18,msoa,Year 6: children with excess weight (%)<br/><h5>2015/16 - 2017/18</h5>,"Data and definitions for <strong>Year 6: children with excess weight (%)</strong> are provided by PHE at <a href=""https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data"" target=""_blank"">National Child Measurement Programme</a>",1,diverge,34.2,,https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data,National Child Measurement Programme,PHE,,%
Obese_Year6,Year 6: obese children (%),2015/16 - 2017/18,msoa,Year 6: obese children (%)<br/><h5>2015/16 - 2017/18</h5>,"Data and definitions for <strong>Year 6: obese children (%)</strong> are provided by PHE at <a href=""https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data"" target=""_blank"">National Child Measurement Programme</a>",1,diverge,20,,https://www.gov.uk/government/statistics/child-obesity-and-excess-weight-small-area-level-data,National Child Measurement Programme,PHE,,%
Em_admit_under5,Emergency admissions in under 5s,2013/14 - 2015/16,msoa,Emergency admissions in under 5s<br/><h5>Crude rate per 1000<br/>2013/14 - 2015/16</h5>,"Data and definitions for <strong>Emergency admissions in under 5s</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,149.1543534,,http://www.localhealth.org.uk,Local Health,PHE,,
Injury_admit_under5,Admissions for injuries in under 5s,2011/12 - 2015/16,msoa,"Admissions for injuries in under 5s<br/><h5>Crude rate per 10,000<br/>2011/12 - 2015/16</h5>","Data and definitions for <strong>Admissions for injuries in under 5s</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,138.78533,,http://www.localhealth.org.uk,Local Health,PHE,,
Injury_admit_under15,Admissions for injuries in under 15s,2011/12 - 2015/16,msoa,"Admissions for injuries in under 15s<br/><h5>Crude rate per 10,000<br/>2011/12 - 2015/16</h5>","Data and definitions for <strong>Admissions for injuries in under 15s</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,110.087036,,http://www.localhealth.org.uk,Local Health,PHE,,
Injury_admit_15to24,Admissions for injuries in 15-24 year olds,2011/12 - 2015/16,msoa,"Admissions for injuries in 15-24 year olds<br/><h5>Crude rate per 10,000<br/>2011/12 - 2015/16</h5>","Data and definitions for <strong>Admissions for injuries in 15-24 year olds</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,136.9845057,,http://www.localhealth.org.uk,Local Health,PHE,,
AE_attend_under5,A&E attendances in under 5s,2013/14 - 2015/16,msoa,A&E attendances in under 5s<br/><h5>Crude rate per 1000<br/>2013/14 - 2015/16</h5>,"Data and definitions for <strong>A&E attendances in under 5s</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,551.5785523,,http://www.localhealth.org.uk,Local Health,PHE,,
PC_White,% population of White ethnicity,2011 Census,lsoa,% population of White ethnicity<br/><h5>2011 Census (Table KS201EW)</h5>,"Data and definitions for <strong>% population of White ethnicity</strong> are provided by ONS at <a href=""http://www.nomisweb.co.uk"" target=""_blank"">Nomis</a> ",,0toX,,100,http://www.nomisweb.co.uk,Nomis,ONS,,%
PC_Indian,% population of Indian ethnicity,2011 Census,lsoa,% population of Indian ethnicity<br/><h5>2011 Census (Table KS201EW)</h5>,"Data and definitions for <strong>% population of Indian ethnicity</strong> are provided by ONS at <a href=""http://www.nomisweb.co.uk"" target=""_blank"">Nomis</a> ",,0toX,,100,http://www.nomisweb.co.uk,Nomis,ONS,,%
PC_Pakistani,% population of Pakistani ethnicity,2011 Census,lsoa,% population of Pakistani ethnicity<br/><h5>2011 Census (Table KS201EW)</h5>,"Data and definitions for <strong>% population of Pakistani ethnicity</strong> are provided by ONS at <a href=""http://www.nomisweb.co.uk"" target=""_blank"">Nomis</a> ",,0toX,,100,http://www.nomisweb.co.uk,Nomis,ONS,,%
PC_Bangladeshi,% population of Bangladeshi ethnicity,2011 Census,lsoa,% population of Bangladeshi ethnicity<br/><h5>2011 Census (Table KS201EW)</h5>,"Data and definitions for <strong>% population of Bangladeshi ethnicity</strong> are provided by ONS at <a href=""http://www.nomisweb.co.uk"" target=""_blank"">Nomis</a> ",,0toX,,100,http://www.nomisweb.co.uk,Nomis,ONS,,%
PC_Mixed_Other,% population of Mixed or Other ethnicity,2011 Census,lsoa,% population of Mixed or Other ethnicity<br/><h5>2011 Census (Table KS201EW)</h5>,"Data and definitions for <strong>% population of Mixed or Other ethnicity</strong> are provided by ONS at <a href=""http://www.nomisweb.co.uk"" target=""_blank"">Nomis</a> ",,0toX,,100,http://www.nomisweb.co.uk,Nomis,ONS,,%
PC_BME,% ethnic minority population,2011 Census,lsoa,% ethnic minority population<br/><h5>2011 Census (Table KS201EW)</h5>,"Data and definitions for <strong>%ethnic minority population</strong> are provided by ONS at <a href=""http://www.nomisweb.co.uk"" target=""_blank"">Nomis</a> ",,0toX,,100,http://www.nomisweb.co.uk,Nomis,ONS,,%
PC_badEnglish,% speaking English 'not well' or not at all,2011 Census,lsoa,Proficiency in English: <br/>% speaking English 'not well' or not at all<br/><em>(age 3 or over)</em><br/><h5>2011 Census (Table QS205EW)</h5>,"Data and definitions for <strong>% speaking English 'not well' or not at all</strong> are provided by ONS at <a href=""http://www.nomisweb.co.uk"" target=""_blank"">Nomis</a> ",,0toX,,20,http://www.nomisweb.co.uk,Nomis,ONS,,%
ESA_total,ESA: Total claimants,Feb-18,lsoa,Employment & Support Allowance (ESA)<br/>Total Claimants (% of 16-64 pop)<h5>Feb 2018</h5>,"Data and definitions for <strong>ESA: Total claimants</strong> are provided by DWP at <a href=""https://stat-xplore.dwp.gov.uk"" target=""_blank"">Stat-Xplore</a>  (with population denominators from ONS)",1,diverge,5.340146997,,https://stat-xplore.dwp.gov.uk,Stat-Xplore,DWP,,%
ESA_MH,ESA: Mental Health,Feb-18,lsoa,Employment & Support Allowance (ESA)<br/>by main qualifying condition<h5>Mental Health (% of 16-64 pop)<br/>Feb 2018</h5>,"Data and definitions for <strong>ESA: Mental Health</strong> are provided by DWP at <a href=""https://stat-xplore.dwp.gov.uk"" target=""_blank"">Stat-Xplore</a> (with population denominators from ONS)",1,diverge,2.709872133,,https://stat-xplore.dwp.gov.uk,Stat-Xplore,DWP,,%
ESA_Nervous,ESA: Nervous System,Feb-18,lsoa,Employment & Support Allowance (ESA)<br/>by main qualifying condition<h5>Nervous System (% of 16-64 pop)<br/>Feb 2018</h5>,"Data and definitions for <strong>ESA: Nervous System</strong> are provided by DWP at <a href=""https://stat-xplore.dwp.gov.uk"" target=""_blank"">Stat-Xplore</a> (with population denominators from ONS)",1,diverge,0.387159742,,https://stat-xplore.dwp.gov.uk,Stat-Xplore,DWP,,%
ESA_RespCirc,ESA: Respiratory or Circulatory,Feb-18,lsoa,Employment & Support Allowance (ESA)<br/>by main qualifying condition<h5>Respiratory or Circulatory (% of 16-64 pop)<br/>Feb 2018</h5>,"Data and definitions for <strong>ESA: Respiratory or Cirulatory</strong> are provided by DWP at <a href=""https://stat-xplore.dwp.gov.uk"" target=""_blank"">Stat-Xplore</a> (with population denominators from ONS)",1,diverge,0.326400303,,https://stat-xplore.dwp.gov.uk,Stat-Xplore,DWP,,%
ESA_MSK,ESA: Musculoskeletal,Feb-18,lsoa,Employment & Support Allowance (ESA)<br/>by main qualifying condition<h5>Musculoskeletal (% of 16-64 pop)<br/>Feb 2018</h5>,"Data and definitions for <strong>ESA: Musculoskeletal</strong> are provided by DWP at <a href=""https://stat-xplore.dwp.gov.uk"" target=""_blank"">Stat-Xplore</a> (with population denominators from ONS)",1,diverge,0.658316907,,https://stat-xplore.dwp.gov.uk,Stat-Xplore,DWP,,%
ESA_Other,ESA: Other conditions,Feb-18,lsoa,Employment & Support Allowance (ESA)<br/>by main qualifying condition<h5>Other conditions (% of 16-64 pop)<br/>Feb 2018</h5>,"Data and definitions for <strong>ESA: Other conditions</strong> are provided by DWP at <a href=""https://stat-xplore.dwp.gov.uk"" target=""_blank"">Stat-Xplore</a> (with population denominators from ONS)",1,diverge,1.258397912,,https://stat-xplore.dwp.gov.uk,Stat-Xplore,DWP,,%
Tot_annual_income,Total Annual Household Income,2015/16,msoa,Total Annual Household Income<br/><h5>2015/16<br/><em>(NB - these are modelled estimates<br/>with wide confidence intervals)</em></h5>,"Data and definitions for <strong>Total Annual Household Income</strong> are provided by ONS at <a href=""https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/datasets/smallareaincomeestimatesformiddlelayersuperoutputareasenglandandwales"" target=""_blank"">Small Area Income Estimates</a>",-1,deciles,,,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/datasets/smallareaincomeestimatesformiddlelayersuperoutputareasenglandandwales,ONS,ONS,,
Fuel_Poverty,% households in Fuel Poverty,2017,lsoa,% households in Fuel Poverty<br/><h5>2017<br/><em>(NB - these are modelled estimates)</em></h5>,"Data and definitions for <strong>% households in Fuel Poverty</strong> are provided by DBEIS at <a href=""https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2019"" target=""_blank"">Sub-regional Fuel Poverty Data</a>",1,diverge,10.9,,https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2019,Department of Business Energy and Industrial Strategy,DBEIS,,%
House_Prices,Median House Price,Year to Mar 2019,lsoa,Median house price<br/><h5>Year to Mar 2019</h5>,"Data and definitins for <strong>Median House Price</strong> are provided by ONS at <a href = ""https://www.ons.gov.uk/peoplepopulationandcommunity/housing/bulletins/housepricestatisticsforsmallareas/yearendingmarch2019/relateddata?:uri=peoplepopulationandcommunity/housing/bulletins/housepricestatisticsforsmallareas/yearendingmarch2019/relateddata&:uri=peoplepopulationandcommunity/housing/bulletins/housepricestatisticsforsmallareas/yearendingmarch2019/relateddata&page=3"" target=""_blank"">ONS</a>",-1,diverge,240000,,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/bulletins/housepricestatisticsforsmallareas/yearendingmarch2019,ONS,ONS,,    
