lsoa11cd,index_domain,measure,value
E01012599,Index of Multiple Deprivation,Score,22.436
E01012589,Index of Multiple Deprivation,Score,43.733
E01012590,Index of Multiple Deprivation,Score,33.217
E01012591,Index of Multiple Deprivation,Score,38.718
E01012648,Index of Multiple Deprivation,Score,40.466
E01012652,Index of Multiple Deprivation,Score,10.46
E01012617,Index of Multiple Deprivation,Score,32.723
E01012646,Index of Multiple Deprivation,Score,52.609
E01012647,Index of Multiple Deprivation,Score,45.326
E01012650,Index of Multiple Deprivation,Score,55.49
E01012649,Index of Multiple Deprivation,Score,55.926
E01012651,Index of Multiple Deprivation,Score,21.922
E01012653,Index of Multiple Deprivation,Score,29.941
E01012654,Index of Multiple Deprivation,Score,41.698
E01012614,Index of Multiple Deprivation,Score,11.26
E01012615,Index of Multiple Deprivation,Score,33.709
E01012616,Index of Multiple Deprivation,Score,14.906
E01012659,Index of Multiple Deprivation,Score,13.266
E01012660,Index of Multiple Deprivation,Score,8.291
E01012661,Index of Multiple Deprivation,Score,24.171
E01012592,Index of Multiple Deprivation,Score,11.673
E01012628,Index of Multiple Deprivation,Score,8.855
E01032485,Index of Multiple Deprivation,Score,10.917
E01032486,Index of Multiple Deprivation,Score,4.137
E01024859,Index of Multiple Deprivation,Score,17.031
E01024861,Index of Multiple Deprivation,Score,10.934
E01024862,Index of Multiple Deprivation,Score,9.696
E01024891,Index of Multiple Deprivation,Score,28.705
E01024892,Index of Multiple Deprivation,Score,28.223
E01024894,Index of Multiple Deprivation,Score,23.236
E01024893,Index of Multiple Deprivation,Score,45.302
E01024896,Index of Multiple Deprivation,Score,23.337
E01024897,Index of Multiple Deprivation,Score,30.115
E01024898,Index of Multiple Deprivation,Score,49.377
E01024856,Index of Multiple Deprivation,Score,50.958
E01024875,Index of Multiple Deprivation,Score,48.439
E01024876,Index of Multiple Deprivation,Score,54.233
E01024877,Index of Multiple Deprivation,Score,76.666
E01024878,Index of Multiple Deprivation,Score,59.426
E01024895,Index of Multiple Deprivation,Score,62.692
E01024883,Index of Multiple Deprivation,Score,32.535
E01024884,Index of Multiple Deprivation,Score,27.121
E01024885,Index of Multiple Deprivation,Score,45.309
E01024886,Index of Multiple Deprivation,Score,40.976
E01024889,Index of Multiple Deprivation,Score,24.93
E01024890,Index of Multiple Deprivation,Score,40.805
E01024879,Index of Multiple Deprivation,Score,28.177
E01024880,Index of Multiple Deprivation,Score,27.311
E01024912,Index of Multiple Deprivation,Score,8.271
E01024913,Index of Multiple Deprivation,Score,8.852
E01024914,Index of Multiple Deprivation,Score,9.04
E01024881,Index of Multiple Deprivation,Score,37.154
E01024882,Index of Multiple Deprivation,Score,45.494
E01024902,Index of Multiple Deprivation,Score,35.072
E01024911,Index of Multiple Deprivation,Score,30.924
E01024855,Index of Multiple Deprivation,Score,60.607
E01024857,Index of Multiple Deprivation,Score,43.95
E01024858,Index of Multiple Deprivation,Score,82.156
E01024864,Index of Multiple Deprivation,Score,30.156
E01024863,Index of Multiple Deprivation,Score,39.007
E01024865,Index of Multiple Deprivation,Score,48.217
E01024866,Index of Multiple Deprivation,Score,27.027
E01024867,Index of Multiple Deprivation,Score,7.069
E01024860,Index of Multiple Deprivation,Score,11.016
E01024868,Index of Multiple Deprivation,Score,12.544
E01024869,Index of Multiple Deprivation,Score,10.503
E01024870,Index of Multiple Deprivation,Score,17.152
E01024872,Index of Multiple Deprivation,Score,64.11
E01024899,Index of Multiple Deprivation,Score,54.709
E01024900,Index of Multiple Deprivation,Score,68.058
E01024907,Index of Multiple Deprivation,Score,64.337
E01024908,Index of Multiple Deprivation,Score,82.317
E01024909,Index of Multiple Deprivation,Score,58.89
E01024874,Index of Multiple Deprivation,Score,12.994
E01024887,Index of Multiple Deprivation,Score,28.754
E01024888,Index of Multiple Deprivation,Score,20.142
E01024901,Index of Multiple Deprivation,Score,8.289
E01024904,Index of Multiple Deprivation,Score,32.964
E01024906,Index of Multiple Deprivation,Score,75.622
E01024910,Index of Multiple Deprivation,Score,42.126
E01024871,Index of Multiple Deprivation,Score,21.612
E01024873,Index of Multiple Deprivation,Score,18.471
E01024903,Index of Multiple Deprivation,Score,32.953
E01024905,Index of Multiple Deprivation,Score,11.322
E01025060,Index of Multiple Deprivation,Score,34.653
E01025061,Index of Multiple Deprivation,Score,21.055
E01025062,Index of Multiple Deprivation,Score,51.571
E01025063,Index of Multiple Deprivation,Score,27.648
E01025064,Index of Multiple Deprivation,Score,6.91
E01025065,Index of Multiple Deprivation,Score,25.319
E01025066,Index of Multiple Deprivation,Score,15.075
E01025032,Index of Multiple Deprivation,Score,38.492
E01025033,Index of Multiple Deprivation,Score,12.516
E01025034,Index of Multiple Deprivation,Score,24.928
E01025048,Index of Multiple Deprivation,Score,11.325
E01025049,Index of Multiple Deprivation,Score,48.228
E01025050,Index of Multiple Deprivation,Score,20.859
E01025053,Index of Multiple Deprivation,Score,19.291
E01025070,Index of Multiple Deprivation,Score,42.121
E01025071,Index of Multiple Deprivation,Score,22.925
E01025072,Index of Multiple Deprivation,Score,40.855
E01025073,Index of Multiple Deprivation,Score,25.349
E01025074,Index of Multiple Deprivation,Score,8.296
E01025051,Index of Multiple Deprivation,Score,44.509
E01025052,Index of Multiple Deprivation,Score,10.241
E01025057,Index of Multiple Deprivation,Score,23.76
E01025058,Index of Multiple Deprivation,Score,29.966
E01025059,Index of Multiple Deprivation,Score,34.844
E01025067,Index of Multiple Deprivation,Score,50.838
E01025068,Index of Multiple Deprivation,Score,50.198
E01025069,Index of Multiple Deprivation,Score,33.14
E01025044,Index of Multiple Deprivation,Score,38.591
E01025045,Index of Multiple Deprivation,Score,61.164
E01025046,Index of Multiple Deprivation,Score,57.064
E01025081,Index of Multiple Deprivation,Score,11.472
E01025041,Index of Multiple Deprivation,Score,62.85
E01025042,Index of Multiple Deprivation,Score,55.857
E01025082,Index of Multiple Deprivation,Score,52.552
E01025083,Index of Multiple Deprivation,Score,58.214
E01025084,Index of Multiple Deprivation,Score,50.692
E01033231,Index of Multiple Deprivation,Score,55.002
E01025055,Index of Multiple Deprivation,Score,35.724
E01025075,Index of Multiple Deprivation,Score,34.616
E01025076,Index of Multiple Deprivation,Score,30.155
E01025077,Index of Multiple Deprivation,Score,35.787
E01025078,Index of Multiple Deprivation,Score,12.695
E01025035,Index of Multiple Deprivation,Score,20.241
E01025036,Index of Multiple Deprivation,Score,66.148
E01025037,Index of Multiple Deprivation,Score,30.829
E01025038,Index of Multiple Deprivation,Score,8.628
E01025039,Index of Multiple Deprivation,Score,6.748
E01025040,Index of Multiple Deprivation,Score,9.468
E01025054,Index of Multiple Deprivation,Score,26.658
E01025056,Index of Multiple Deprivation,Score,10.367
E01025079,Index of Multiple Deprivation,Score,11.928
E01025080,Index of Multiple Deprivation,Score,19.467
E01025191,Index of Multiple Deprivation,Score,10.817
E01025192,Index of Multiple Deprivation,Score,25.82
E01025193,Index of Multiple Deprivation,Score,17.731
E01025194,Index of Multiple Deprivation,Score,22.865
E01025195,Index of Multiple Deprivation,Score,11.156
E01025196,Index of Multiple Deprivation,Score,32.447
E01025197,Index of Multiple Deprivation,Score,13.42
E01025198,Index of Multiple Deprivation,Score,24.974
E01025199,Index of Multiple Deprivation,Score,12.031
E01025200,Index of Multiple Deprivation,Score,20.773
E01025201,Index of Multiple Deprivation,Score,21.089
E01025202,Index of Multiple Deprivation,Score,14.448
E01025205,Index of Multiple Deprivation,Score,36.702
E01025206,Index of Multiple Deprivation,Score,17.814
E01025207,Index of Multiple Deprivation,Score,47.991
E01025208,Index of Multiple Deprivation,Score,38.89
E01025220,Index of Multiple Deprivation,Score,44.194
E01025221,Index of Multiple Deprivation,Score,31.49
E01025222,Index of Multiple Deprivation,Score,14.044
E01025223,Index of Multiple Deprivation,Score,33.583
E01025178,Index of Multiple Deprivation,Score,10.863
E01025179,Index of Multiple Deprivation,Score,15.624
E01025180,Index of Multiple Deprivation,Score,11.487
E01025203,Index of Multiple Deprivation,Score,11.245
E01025226,Index of Multiple Deprivation,Score,46.511
E01025227,Index of Multiple Deprivation,Score,58.567
E01025228,Index of Multiple Deprivation,Score,21.388
E01025174,Index of Multiple Deprivation,Score,10.651
E01025175,Index of Multiple Deprivation,Score,7.91
E01025176,Index of Multiple Deprivation,Score,15.568
E01025177,Index of Multiple Deprivation,Score,6.885
E01025204,Index of Multiple Deprivation,Score,10.453
E01025211,Index of Multiple Deprivation,Score,6.792
E01025181,Index of Multiple Deprivation,Score,52.342
E01025182,Index of Multiple Deprivation,Score,51.735
E01025183,Index of Multiple Deprivation,Score,49.788
E01025184,Index of Multiple Deprivation,Score,51.938
E01025188,Index of Multiple Deprivation,Score,45.526
E01025189,Index of Multiple Deprivation,Score,45.224
E01025210,Index of Multiple Deprivation,Score,31.876
E01025217,Index of Multiple Deprivation,Score,48.765
E01025218,Index of Multiple Deprivation,Score,61.577
E01025219,Index of Multiple Deprivation,Score,64.13
E01025224,Index of Multiple Deprivation,Score,45.194
E01025225,Index of Multiple Deprivation,Score,23.008
E01025229,Index of Multiple Deprivation,Score,43.636
E01025230,Index of Multiple Deprivation,Score,47.575
E01025187,Index of Multiple Deprivation,Score,25.018
E01025190,Index of Multiple Deprivation,Score,21.391
E01025209,Index of Multiple Deprivation,Score,26.798
E01025216,Index of Multiple Deprivation,Score,25.335
E01025185,Index of Multiple Deprivation,Score,41.24
E01025186,Index of Multiple Deprivation,Score,45.599
E01025212,Index of Multiple Deprivation,Score,18.21
E01025213,Index of Multiple Deprivation,Score,24.342
E01025214,Index of Multiple Deprivation,Score,8.774
E01025215,Index of Multiple Deprivation,Score,46.84
E01025315,Index of Multiple Deprivation,Score,15.75
E01025320,Index of Multiple Deprivation,Score,17.734
E01025331,Index of Multiple Deprivation,Score,18.861
E01025348,Index of Multiple Deprivation,Score,8.386
E01025349,Index of Multiple Deprivation,Score,10.326
E01025334,Index of Multiple Deprivation,Score,13.983
E01025344,Index of Multiple Deprivation,Score,8.528
E01025345,Index of Multiple Deprivation,Score,4.15
E01025346,Index of Multiple Deprivation,Score,8.111
E01025347,Index of Multiple Deprivation,Score,11.798
E01025329,Index of Multiple Deprivation,Score,18.629
E01025330,Index of Multiple Deprivation,Score,14.527
E01025335,Index of Multiple Deprivation,Score,26.458
E01025338,Index of Multiple Deprivation,Score,15.662
E01025339,Index of Multiple Deprivation,Score,13.55
E01025322,Index of Multiple Deprivation,Score,9.62
E01025326,Index of Multiple Deprivation,Score,11.375
E01025327,Index of Multiple Deprivation,Score,4.942
E01025342,Index of Multiple Deprivation,Score,7.118
E01025321,Index of Multiple Deprivation,Score,9.175
E01025340,Index of Multiple Deprivation,Score,6.548
E01025341,Index of Multiple Deprivation,Score,1.973
E01025343,Index of Multiple Deprivation,Score,7.791
E01025354,Index of Multiple Deprivation,Score,9.191
E01025316,Index of Multiple Deprivation,Score,5.432
E01025317,Index of Multiple Deprivation,Score,8.646
E01025325,Index of Multiple Deprivation,Score,15.202
E01025328,Index of Multiple Deprivation,Score,4.986
E01025318,Index of Multiple Deprivation,Score,8.089
E01025319,Index of Multiple Deprivation,Score,7.784
E01025333,Index of Multiple Deprivation,Score,10.344
E01025350,Index of Multiple Deprivation,Score,5.653
E01025351,Index of Multiple Deprivation,Score,15.545
E01025323,Index of Multiple Deprivation,Score,9.695
E01025324,Index of Multiple Deprivation,Score,7.145
E01025332,Index of Multiple Deprivation,Score,1.835
E01025336,Index of Multiple Deprivation,Score,5.66
E01025337,Index of Multiple Deprivation,Score,4.961
E01025352,Index of Multiple Deprivation,Score,4.966
E01025353,Index of Multiple Deprivation,Score,5.249
E01025355,Index of Multiple Deprivation,Score,4.636
E01025361,Index of Multiple Deprivation,Score,13.572
E01025362,Index of Multiple Deprivation,Score,13.085
E01025393,Index of Multiple Deprivation,Score,22.152
E01025363,Index of Multiple Deprivation,Score,20.068
E01025364,Index of Multiple Deprivation,Score,7.898
E01025366,Index of Multiple Deprivation,Score,31.728
E01025395,Index of Multiple Deprivation,Score,19.536
E01025396,Index of Multiple Deprivation,Score,49.123
E01025397,Index of Multiple Deprivation,Score,30.661
E01025398,Index of Multiple Deprivation,Score,28.85
E01025367,Index of Multiple Deprivation,Score,14.653
E01025368,Index of Multiple Deprivation,Score,30.675
E01025369,Index of Multiple Deprivation,Score,43.46
E01025381,Index of Multiple Deprivation,Score,42.599
E01025382,Index of Multiple Deprivation,Score,51.135
E01025383,Index of Multiple Deprivation,Score,17.376
E01025356,Index of Multiple Deprivation,Score,28.034
E01025373,Index of Multiple Deprivation,Score,13.566
E01025385,Index of Multiple Deprivation,Score,43.356
E01025387,Index of Multiple Deprivation,Score,18.924
E01033281,Index of Multiple Deprivation,Score,24.249
E01025377,Index of Multiple Deprivation,Score,6.116
E01025378,Index of Multiple Deprivation,Score,9.033
E01025379,Index of Multiple Deprivation,Score,27.467
E01025380,Index of Multiple Deprivation,Score,5.488
E01025357,Index of Multiple Deprivation,Score,14.073
E01025358,Index of Multiple Deprivation,Score,8.205
E01025365,Index of Multiple Deprivation,Score,11.431
E01025384,Index of Multiple Deprivation,Score,13.545
E01025359,Index of Multiple Deprivation,Score,24.375
E01025360,Index of Multiple Deprivation,Score,21.212
E01025375,Index of Multiple Deprivation,Score,9.866
E01025376,Index of Multiple Deprivation,Score,31.072
E01025371,Index of Multiple Deprivation,Score,30.807
E01025374,Index of Multiple Deprivation,Score,25.314
E01025391,Index of Multiple Deprivation,Score,32.889
E01025392,Index of Multiple Deprivation,Score,24.224
E01025394,Index of Multiple Deprivation,Score,24.515
E01025370,Index of Multiple Deprivation,Score,20.41
E01025388,Index of Multiple Deprivation,Score,32.318
E01025389,Index of Multiple Deprivation,Score,49.288
E01025390,Index of Multiple Deprivation,Score,35.947
E01012607,Index of Multiple Deprivation,Rank,12566
E01012608,Index of Multiple Deprivation,Rank,4815
E01012633,Index of Multiple Deprivation,Rank,13394
E01012634,Index of Multiple Deprivation,Rank,12323
E01012635,Index of Multiple Deprivation,Rank,15869
E01012636,Index of Multiple Deprivation,Rank,23023
E01012581,Index of Multiple Deprivation,Rank,26050
E01012582,Index of Multiple Deprivation,Rank,24148
E01012583,Index of Multiple Deprivation,Rank,28333
E01012587,Index of Multiple Deprivation,Rank,8365
E01012588,Index of Multiple Deprivation,Rank,8645
E01012574,Index of Multiple Deprivation,Rank,2475
E01012577,Index of Multiple Deprivation,Rank,3240
E01012578,Index of Multiple Deprivation,Rank,2978
E01012605,Index of Multiple Deprivation,Rank,5518
E01012606,Index of Multiple Deprivation,Rank,8259
E01012579,Index of Multiple Deprivation,Rank,4672
E01012580,Index of Multiple Deprivation,Rank,5679
E01012642,Index of Multiple Deprivation,Rank,4693
E01012645,Index of Multiple Deprivation,Rank,15872
E01012585,Index of Multiple Deprivation,Rank,9431
E01012586,Index of Multiple Deprivation,Rank,2428
E01012656,Index of Multiple Deprivation,Rank,1631
E01012657,Index of Multiple Deprivation,Rank,2371
E01012658,Index of Multiple Deprivation,Rank,6818
E01012629,Index of Multiple Deprivation,Rank,3550
E01012631,Index of Multiple Deprivation,Rank,666
E01012643,Index of Multiple Deprivation,Rank,1777
E01012644,Index of Multiple Deprivation,Rank,8549
E01012655,Index of Multiple Deprivation,Rank,19
E01012571,Index of Multiple Deprivation,Rank,1879
E01012572,Index of Multiple Deprivation,Rank,1595
E01012573,Index of Multiple Deprivation,Rank,5670
E01012575,Index of Multiple Deprivation,Rank,1537
E01012630,Index of Multiple Deprivation,Rank,5785
E01012576,Index of Multiple Deprivation,Rank,3394
E01012637,Index of Multiple Deprivation,Rank,283
E01012638,Index of Multiple Deprivation,Rank,475
E01012639,Index of Multiple Deprivation,Rank,402
E01012640,Index of Multiple Deprivation,Rank,3460
E01012641,Index of Multiple Deprivation,Rank,1288
E01012595,Index of Multiple Deprivation,Rank,1696
E01012596,Index of Multiple Deprivation,Rank,2323
E01012622,Index of Multiple Deprivation,Rank,136
E01012623,Index of Multiple Deprivation,Rank,6589
E01012624,Index of Multiple Deprivation,Rank,2531
E01012625,Index of Multiple Deprivation,Rank,3499
E01012584,Index of Multiple Deprivation,Rank,24081
E01012609,Index of Multiple Deprivation,Rank,27429
E01012610,Index of Multiple Deprivation,Rank,20775
E01012611,Index of Multiple Deprivation,Rank,24308
E01012612,Index of Multiple Deprivation,Rank,24910
E01012613,Index of Multiple Deprivation,Rank,23655
E01012600,Index of Multiple Deprivation,Rank,3288
E01012601,Index of Multiple Deprivation,Rank,431
E01012602,Index of Multiple Deprivation,Rank,22074
E01012603,Index of Multiple Deprivation,Rank,1403
E01012604,Index of Multiple Deprivation,Rank,12642
E01012632,Index of Multiple Deprivation,Rank,8544
E01012594,Index of Multiple Deprivation,Rank,2761
E01012618,Index of Multiple Deprivation,Rank,18710
E01012619,Index of Multiple Deprivation,Rank,846
E01012620,Index of Multiple Deprivation,Rank,15457
E01012621,Index of Multiple Deprivation,Rank,4772
E01012593,Index of Multiple Deprivation,Rank,12460
E01012597,Index of Multiple Deprivation,Rank,23955
E01012598,Index of Multiple Deprivation,Rank,29118
E01012599,Index of Multiple Deprivation,Rank,12439
E01012589,Index of Multiple Deprivation,Rank,3483
E01012590,Index of Multiple Deprivation,Rank,6837
E01012591,Index of Multiple Deprivation,Rank,4887
E01012648,Index of Multiple Deprivation,Rank,4380
E01012652,Index of Multiple Deprivation,Rank,23656
E01012617,Index of Multiple Deprivation,Rank,7031
E01012646,Index of Multiple Deprivation,Rank,1780
E01012647,Index of Multiple Deprivation,Rank,3120
E01012650,Index of Multiple Deprivation,Rank,1405
E01012649,Index of Multiple Deprivation,Rank,1355
E01012651,Index of Multiple Deprivation,Rank,12794
E01012653,Index of Multiple Deprivation,Rank,8267
E01012654,Index of Multiple Deprivation,Rank,4001
E01012614,Index of Multiple Deprivation,Rank,22693
E01012615,Index of Multiple Deprivation,Rank,6628
E01012616,Index of Multiple Deprivation,Rank,18734
E01012659,Index of Multiple Deprivation,Rank,20395
E01012660,Index of Multiple Deprivation,Rank,26369
E01012661,Index of Multiple Deprivation,Rank,11338
E01012592,Index of Multiple Deprivation,Rank,22185
E01012628,Index of Multiple Deprivation,Rank,25628
E01032485,Index of Multiple Deprivation,Rank,23097
E01032486,Index of Multiple Deprivation,Rank,31142
E01024859,Index of Multiple Deprivation,Rank,16724
E01024861,Index of Multiple Deprivation,Rank,23085
E01024862,Index of Multiple Deprivation,Rank,24583
E01024891,Index of Multiple Deprivation,Rank,8823
E01024892,Index of Multiple Deprivation,Rank,9056
E01024894,Index of Multiple Deprivation,Rank,11892
E01024893,Index of Multiple Deprivation,Rank,3126
E01024896,Index of Multiple Deprivation,Rank,11840
E01024897,Index of Multiple Deprivation,Rank,8193
E01024898,Index of Multiple Deprivation,Rank,2328
E01024856,Index of Multiple Deprivation,Rank,2062
E01024875,Index of Multiple Deprivation,Rank,2522
E01024876,Index of Multiple Deprivation,Rank,1567
E01024877,Index of Multiple Deprivation,Rank,79
E01024878,Index of Multiple Deprivation,Rank,974
E01024895,Index of Multiple Deprivation,Rank,712
E01024883,Index of Multiple Deprivation,Rank,7105
E01024884,Index of Multiple Deprivation,Rank,9657
E01024885,Index of Multiple Deprivation,Rank,3123
E01024886,Index of Multiple Deprivation,Rank,4230
E01024889,Index of Multiple Deprivation,Rank,10911
E01024890,Index of Multiple Deprivation,Rank,4279
E01024879,Index of Multiple Deprivation,Rank,9084
E01024880,Index of Multiple Deprivation,Rank,9554
E01024912,Index of Multiple Deprivation,Rank,26403
E01024913,Index of Multiple Deprivation,Rank,25632
E01024914,Index of Multiple Deprivation,Rank,25401
E01024881,Index of Multiple Deprivation,Rank,5394
E01024882,Index of Multiple Deprivation,Rank,3085
E01024902,Index of Multiple Deprivation,Rank,6119
E01024911,Index of Multiple Deprivation,Rank,7787
E01024855,Index of Multiple Deprivation,Rank,877
E01024857,Index of Multiple Deprivation,Rank,3431
E01024858,Index of Multiple Deprivation,Rank,15
E01024864,Index of Multiple Deprivation,Rank,8174
E01024863,Index of Multiple Deprivation,Rank,4800
E01024865,Index of Multiple Deprivation,Rank,2566
E01024866,Index of Multiple Deprivation,Rank,9704
E01024867,Index of Multiple Deprivation,Rank,27887
E01024860,Index of Multiple Deprivation,Rank,22990
E01024868,Index of Multiple Deprivation,Rank,21159
E01024869,Index of Multiple Deprivation,Rank,23613
E01024870,Index of Multiple Deprivation,Rank,16625
E01024872,Index of Multiple Deprivation,Rank,601
E01024899,Index of Multiple Deprivation,Rank,1513
E01024900,Index of Multiple Deprivation,Rank,364
E01024907,Index of Multiple Deprivation,Rank,581
E01024908,Index of Multiple Deprivation,Rank,14
E01024909,Index of Multiple Deprivation,Rank,1027
E01024874,Index of Multiple Deprivation,Rank,20678
E01024887,Index of Multiple Deprivation,Rank,8798
E01024888,Index of Multiple Deprivation,Rank,14121
E01024901,Index of Multiple Deprivation,Rank,26374
E01024904,Index of Multiple Deprivation,Rank,6928
E01024906,Index of Multiple Deprivation,Rank,95
E01024910,Index of Multiple Deprivation,Rank,3878
E01024871,Index of Multiple Deprivation,Rank,12991
E01024873,Index of Multiple Deprivation,Rank,15482
E01024903,Index of Multiple Deprivation,Rank,6936
E01024905,Index of Multiple Deprivation,Rank,22612
E01025060,Index of Multiple Deprivation,Rank,6291
E01025061,Index of Multiple Deprivation,Rank,13423
E01025062,Index of Multiple Deprivation,Rank,1953
E01025063,Index of Multiple Deprivation,Rank,9381
E01025064,Index of Multiple Deprivation,Rank,28090
E01025065,Index of Multiple Deprivation,Rank,10690
E01025066,Index of Multiple Deprivation,Rank,18564
E01025032,Index of Multiple Deprivation,Rank,4960
E01025033,Index of Multiple Deprivation,Rank,21190
E01025034,Index of Multiple Deprivation,Rank,10914
E01025048,Index of Multiple Deprivation,Rank,22608
E01025049,Index of Multiple Deprivation,Rank,2563
E01025050,Index of Multiple Deprivation,Rank,13576
E01025053,Index of Multiple Deprivation,Rank,14795
E01025070,Index of Multiple Deprivation,Rank,3880
E01025071,Index of Multiple Deprivation,Rank,12097
E01025072,Index of Multiple Deprivation,Rank,4263
E01025073,Index of Multiple Deprivation,Rank,10672
E01025074,Index of Multiple Deprivation,Rank,26362
E01025051,Index of Multiple Deprivation,Rank,3305
E01025052,Index of Multiple Deprivation,Rank,23909
E01025057,Index of Multiple Deprivation,Rank,11574
E01025058,Index of Multiple Deprivation,Rank,8261
E01025059,Index of Multiple Deprivation,Rank,6214
E01025067,Index of Multiple Deprivation,Rank,2082
E01025068,Index of Multiple Deprivation,Rank,2192
E01025069,Index of Multiple Deprivation,Rank,6866
E01025044,Index of Multiple Deprivation,Rank,4927
E01025045,Index of Multiple Deprivation,Rank,821
E01025046,Index of Multiple Deprivation,Rank,1219
E01025081,Index of Multiple Deprivation,Rank,22418
E01025041,Index of Multiple Deprivation,Rank,696
E01025042,Index of Multiple Deprivation,Rank,1367
E01025082,Index of Multiple Deprivation,Rank,1793
E01025083,Index of Multiple Deprivation,Rank,1098
E01025084,Index of Multiple Deprivation,Rank,2100
E01033231,Index of Multiple Deprivation,Rank,1462
E01025055,Index of Multiple Deprivation,Rank,5868
E01025075,Index of Multiple Deprivation,Rank,6306
E01025076,Index of Multiple Deprivation,Rank,8175
E01025077,Index of Multiple Deprivation,Rank,5845
E01025078,Index of Multiple Deprivation,Rank,21016
E01025035,Index of Multiple Deprivation,Rank,14035
E01025036,Index of Multiple Deprivation,Rank,474
E01025037,Index of Multiple Deprivation,Rank,7836
E01025038,Index of Multiple Deprivation,Rank,25938
E01025039,Index of Multiple Deprivation,Rank,28302
E01025040,Index of Multiple Deprivation,Rank,24861
E01025054,Index of Multiple Deprivation,Rank,9896
E01025056,Index of Multiple Deprivation,Rank,23754
E01025079,Index of Multiple Deprivation,Rank,21887
E01025080,Index of Multiple Deprivation,Rank,14682
E01025191,Index of Multiple Deprivation,Rank,23234
E01025192,Index of Multiple Deprivation,Rank,10398
E01025193,Index of Multiple Deprivation,Rank,16120
E01025194,Index of Multiple Deprivation,Rank,12150
E01025195,Index of Multiple Deprivation,Rank,22822
E01025196,Index of Multiple Deprivation,Rank,7139
E01025197,Index of Multiple Deprivation,Rank,20248
E01025198,Index of Multiple Deprivation,Rank,10881
E01025199,Index of Multiple Deprivation,Rank,21765
E01025200,Index of Multiple Deprivation,Rank,13643
E01025201,Index of Multiple Deprivation,Rank,13390
E01025202,Index of Multiple Deprivation,Rank,19186
E01025205,Index of Multiple Deprivation,Rank,5544
